Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time
2.01403E+12,299930,513480,-3.547019,54.506736,3,3,1,1,03/01/2014,6,05:30
2.01403E+12,314020,541640,-3.33776,54.762326,3,2,1,1,05/01/2014,1,10:29
2.01403E+12,328000,474550,-3.104193,54.161694,3,3,1,1,04/01/2014,7,20:21
2.01403E+12,360350,498050,-2.61191,54.37641,3,3,1,1,04/01/2014,7,18:33
2.01403E+12,339290,555890,-2.948099,54.894063,3,3,2,1,01/01/2014,4,13:50
2.01403E+12,342240,555440,-2.90202,54.890369,3,3,1,1,02/01/2014,5,16:30
2.01403E+12,340080,556370,-2.935884,54.898471,3,3,2,1,03/01/2014,6,05:50
2.01403E+12,339150,565340,-2.952286,54.978956,3,3,2,1,02/01/2014,5,10:15
2.01403E+12,356490,509420,-2.673002,54.478271,3,3,1,1,05/01/2014,1,07:15
2.01403E+12,297970,518890,-3.579153,54.554947,3,3,2,1,06/01/2014,2,12:04
2.01403E+12,304750,524460,-3.476165,54.60631,3,3,1,3,06/01/2014,2,16:20
2.01403E+12,297450,518260,-3.58697,54.549182,3,3,1,1,06/01/2014,2,17:40
2.01403E+12,319300,470210,-3.236241,54.121401,3,3,2,1,06/01/2014,2,17:05
2.01403E+12,357950,489940,-2.647708,54.303334,3,3,1,2,05/01/2014,1,18:39
2.01403E+12,338880,555250,-2.954355,54.888262,3,3,2,3,08/01/2014,4,18:15
2.01403E+12,296800,517050,-3.59659,54.53818,3,3,3,1,07/01/2014,3,20:45
2.01403E+12,297820,517280,-3.580912,54.540453,3,3,3,4,09/01/2014,5,14:15
2.01403E+12,326460,524410,-3.140125,54.609492,3,3,2,1,09/01/2014,5,19:19
2.01403E+12,361670,563880,-2.600252,54.968082,3,3,2,1,04/01/2014,7,17:45
2.01403E+12,319450,471490,-3.234288,54.132926,3,2,1,1,06/01/2014,2,18:01
2.01403E+12,360970,501870,-2.602869,54.410787,3,3,2,1,09/01/2014,5,23:30
2.01403E+12,304800,524100,-3.475274,54.603085,3,3,1,1,12/01/2014,1,23:50
2.01403E+12,299160,519600,-3.561004,54.561564,3,3,1,2,10/01/2014,6,21:23
2.01403E+12,299620,528490,-3.556937,54.64152,3,2,1,1,11/01/2014,7,04:46
2.01403E+12,341170,554870,-2.918582,54.885123,3,2,2,4,08/01/2014,4,22:10
2.01403E+12,346560,530880,-2.830146,54.670161,3,2,1,2,10/01/2014,6,20:27
2.01403E+12,348460,559850,-2.805851,54.930677,3,2,3,2,11/01/2014,7,17:35
2.01403E+12,338390,558350,-2.962657,54.916056,3,3,2,1,11/01/2014,7,13:25
2.01403E+12,340010,556140,-2.936927,54.896396,3,3,2,2,10/01/2014,6,17:39
2.01403E+12,357610,559780,-2.663059,54.930911,3,3,2,1,11/01/2014,7,12:27
2.01403E+12,351710,491960,-2.743921,54.320934,3,3,1,1,13/01/2014,2,18:10
2.01403E+12,341360,555910,-2.915833,54.89449,3,3,3,1,09/01/2014,5,15:25
2.01403E+12,338630,570220,-2.961458,55.022739,3,3,3,2,09/01/2014,5,17:50
2.01403E+12,351420,493430,-2.748619,54.334117,3,3,2,1,11/01/2014,7,16:30
2.01403E+12,342740,559070,-2.894949,54.923044,3,3,2,3,12/01/2014,1,18:14
2.01403E+12,302770,514930,-3.503653,54.520316,3,3,2,1,13/01/2014,2,08:30
2.01403E+12,325580,476010,-3.141609,54.174467,3,3,4,1,14/01/2014,3,08:50
2.01403E+12,297500,518020,-3.586114,54.547036,3,3,2,1,12/01/2014,1,12:30
2.01403E+12,351760,491850,-2.743134,54.31995,3,3,2,2,15/01/2014,4,15:30
2.01403E+12,311490,529540,-3.373388,54.653178,3,3,2,1,13/01/2014,2,16:21
2.01403E+12,330050,479560,-3.073969,54.206997,3,3,2,1,02/01/2014,5,10:17
2.01403E+12,351860,556980,-2.752315,54.905228,3,3,1,1,16/01/2014,5,16:10
2.01403E+12,356370,514950,-2.675673,54.527956,3,3,2,1,13/01/2014,2,20:06
2.01403E+12,368350,520350,-2.491152,54.577376,3,2,1,1,15/01/2014,4,12:38
2.01403E+12,303600,536070,-3.497795,54.710394,3,2,1,1,15/01/2014,4,11:03
2.01403E+12,322930,474050,-3.181695,54.156464,3,3,2,1,16/01/2014,5,20:30
2.01403E+12,324100,475070,-3.16404,54.165804,3,3,1,1,19/01/2014,1,10:29
2.01403E+12,297310,513050,-3.587317,54.502349,3,3,3,2,15/01/2014,4,15:43
2.01403E+12,299810,530260,-3.554601,54.657459,3,3,2,1,15/01/2014,4,17:20
2.01403E+12,341000,481210,-2.906434,54.223204,3,3,2,1,17/01/2014,6,17:34
2.01403E+12,329840,548480,-3.09361,54.826246,3,3,1,1,18/01/2014,7,16:39
2.01403E+12,339590,555580,-2.943357,54.891314,3,3,2,3,06/01/2014,2,15:00
2.01403E+12,363780,525140,-2.562441,54.620114,3,3,2,2,18/01/2014,7,11:40
2.01403E+12,360800,492070,-2.604194,54.322703,3,3,1,1,15/01/2014,4,12:45
2.01403E+12,352480,490790,-2.731897,54.310492,3,2,1,1,16/01/2014,5,07:00
2.01403E+12,340170,496810,-2.92229,54.363293,3,3,2,1,16/01/2014,5,12:36
2.01403E+12,296780,516630,-3.596752,54.534403,3,3,2,2,20/01/2014,2,08:56
2.01403E+12,326820,523480,-3.13432,54.601188,3,2,1,1,20/01/2014,2,17:54
2.01403E+12,334400,551300,-3.023284,54.852202,3,1,2,2,21/01/2014,3,07:55
2.01403E+12,297850,518400,-3.580837,54.550521,3,3,2,1,20/01/2014,2,15:37
2.01403E+12,298370,520710,-3.5736,54.571377,3,3,2,1,15/01/2014,4,17:20
2.01403E+12,298790,516940,-3.565808,54.537593,3,3,1,1,19/01/2014,1,13:44
2.01403E+12,302910,535390,-3.508274,54.704152,3,3,2,1,15/01/2014,4,07:50
2.01403E+12,326590,519040,-3.136769,54.561261,3,3,1,1,23/01/2014,5,10:00
2.01403E+12,352050,493980,-2.739019,54.339119,3,2,2,1,23/01/2014,5,05:50
2.01403E+12,357290,516680,-2.66171,54.543581,3,3,1,1,20/01/2014,2,17:42
2.01403E+12,299110,517290,-3.560984,54.540802,3,3,2,2,21/01/2014,3,08:18
2.01403E+12,320460,470270,-3.218512,54.122121,3,3,3,2,24/01/2014,6,17:22
2.01403E+12,351100,480510,-2.751424,54.217979,3,3,1,2,24/01/2014,6,18:15
2.01403E+12,319990,469060,-3.225381,54.111176,3,3,1,1,25/01/2014,7,10:26
2.01403E+12,298990,528380,-3.566658,54.640406,3,3,2,2,24/01/2014,6,17:04
2.01403E+12,302620,505640,-3.502906,54.436826,3,3,2,1,24/01/2014,6,07:30
2.01403E+12,306690,503350,-3.439456,54.417016,3,3,2,1,24/01/2014,6,11:55
2.01403E+12,339900,557800,-2.938989,54.911298,3,3,2,1,19/01/2014,1,16:30
2.01403E+12,318950,469630,-3.241439,54.116135,3,2,1,1,23/01/2014,5,15:40
2.01403E+12,332260,550520,-3.056427,54.844909,3,3,5,1,23/01/2014,5,16:45
2.01403E+12,321430,469210,-3.203398,54.112746,3,3,2,1,22/01/2014,4,17:10
2.01403E+12,329390,473200,-3.082592,54.149756,3,3,1,1,25/01/2014,7,15:27
2.01403E+12,311240,496430,-3.367293,54.355657,3,3,1,1,22/01/2014,4,21:49
2.01403E+12,325510,548410,-3.160976,54.824991,3,3,1,1,27/01/2014,2,17:15
2.01403E+12,323810,557340,-3.189791,54.904968,3,3,2,3,27/01/2014,2,19:06
2.01403E+12,328410,550370,-3.116333,54.843024,3,3,1,2,25/01/2014,7,14:22
2.01403E+12,317500,544250,-3.284435,54.78636,3,3,2,1,22/01/2014,4,11:15
2.01403E+12,340560,572730,-2.931797,55.045526,3,3,1,1,27/01/2014,2,15:20
2.01403E+12,326220,472680,-3.13099,54.144637,3,3,2,1,16/01/2014,5,21:43
2.01403E+12,321300,469050,-3.205345,54.111288,3,3,3,2,29/01/2014,4,08:56
2.01403E+12,341130,555910,-2.919419,54.894463,3,3,1,1,29/01/2014,4,12:00
2.01403E+12,328650,478210,-3.095109,54.194673,3,3,2,1,15/01/2014,4,12:00
2.01403E+12,297600,516070,-3.58389,54.529538,3,3,1,1,25/01/2014,7,12:25
2.01403E+12,349720,482920,-2.77299,54.239503,3,2,2,1,28/01/2014,3,08:00
2.01403E+12,346140,498320,-2.830697,54.377529,3,2,2,2,24/01/2014,6,15:50
2.01403E+12,347700,497300,-2.806503,54.368526,3,3,2,2,24/01/2014,6,18:35
2.01403E+12,355380,485060,-2.68647,54.25926,3,2,2,1,24/01/2014,6,06:00
2.01403E+12,319180,469290,-3.23783,54.113116,3,3,1,2,30/01/2014,5,02:44
2.01403E+12,319090,469370,-3.239228,54.11382,3,2,2,1,27/01/2014,2,14:00
2.01403E+12,354140,492800,-2.706694,54.328708,3,3,2,1,30/01/2014,5,16:27
2.01403E+12,302930,514790,-3.501136,54.519089,3,3,2,1,31/01/2014,6,19:50
2.01403E+12,319400,471540,-3.235066,54.133368,3,3,2,1,27/01/2014,2,18:27
2.01403E+12,320620,530720,-3.232236,54.665301,3,3,1,1,01/02/2014,7,03:41
2.01403E+12,340400,555350,-2.930683,54.889344,3,3,1,1,31/01/2014,6,16:40
2.01403E+12,319460,470350,-3.233831,54.122684,3,3,3,2,03/02/2014,2,09:25
2.01403E+12,325030,526010,-3.16267,54.623658,3,3,1,1,30/01/2014,5,08:09
2.01403E+12,340290,555720,-2.932474,54.892656,3,3,1,1,29/01/2014,4,13:20
2.01403E+12,297630,511510,-3.581843,54.488579,3,3,1,1,30/01/2014,5,06:42
2.01403E+12,300310,528800,-3.546356,54.644442,3,3,1,1,01/02/2014,7,13:30
2.01403E+12,351930,493130,-2.740727,54.331469,3,3,2,1,31/01/2014,6,20:35
2.01403E+12,311850,530540,-3.368112,54.662225,3,3,2,1,03/02/2014,2,14:40
2.01403E+12,345440,553070,-2.851688,54.869434,3,3,1,1,01/02/2014,7,05:39
