Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time
201401BS70001,524600,179020,-0.206443,51.496345,1,3,2,1,09/01/2014,5,13:21
201401BS70002,525780,178290,-0.189713,51.489523,1,3,2,1,20/01/2014,2,23:00
201401BS70003,526880,178430,-0.173827,51.490536,1,3,2,1,21/01/2014,3,10:40
201401BS70004,525580,179080,-0.192311,51.496668,1,3,1,1,15/01/2014,4,17:45
201401BS70006,527040,179030,-0.171308,51.495892,1,3,2,1,09/01/2014,5,08:50
201401BS70008,524750,178970,-0.204301,51.495863,1,3,3,1,17/01/2014,6,14:11
201401BS70009,524950,179240,-0.201326,51.498245,1,3,2,1,10/01/2014,6,18:25
201401BS70010,523850,181450,-0.216389,51.518349,1,3,2,1,30/01/2014,5,17:50
201401BS70011,524500,180260,-0.207445,51.507511,1,3,2,1,10/01/2014,6,10:55
201401BS70013,526450,179230,-0.179731,51.497822,1,3,2,1,05/01/2014,1,20:26
201401BS70014,527430,179330,-0.165585,51.498501,1,2,1,1,05/01/2014,1,22:06
201401BS70015,526130,179650,-0.184189,51.501668,1,3,2,1,04/01/2014,7,13:40
201401BS70016,525330,181090,-0.195197,51.514787,1,2,1,1,23/01/2014,5,09:33
201401BS70017,525420,178320,-0.194885,51.489873,1,3,1,1,23/01/2014,5,11:10
201401BS70018,525090,180140,-0.198991,51.506302,1,2,1,2,22/01/2014,4,16:47
201401BS70020,526050,177810,-0.185997,51.485149,1,3,2,1,23/01/2014,5,15:30
201401BS70022,526760,178290,-0.175605,51.489305,1,2,2,1,23/01/2014,5,17:22
201401BS70023,525400,180100,-0.194541,51.505874,1,3,2,1,24/01/2014,6,20:28
201401BS70024,523910,179940,-0.216055,51.504765,1,2,2,2,24/01/2014,6,18:38
201401BS70025,525720,179660,-0.190089,51.501849,1,3,1,1,24/01/2014,6,18:55
